id,category,text_zh,text_en,option_a_zh,option_a_en,option_b_zh,option_b_en,option_c_zh,option_c_en,option_d_zh,option_d_en,qian_coeff_a,kun_coeff_a,zhen_coeff_a,xun_coeff_a,kan_coeff_a,li_coeff_a,gen_coeff_a,dui_coeff_a,qian_coeff_b,kun_coeff_b,zhen_coeff_b,xun_coeff_b,kan_coeff_b,li_coeff_b,gen_coeff_b,dui_coeff_b,qian_coeff_c,kun_coeff_c,zhen_coeff_c,xun_coeff_c,kan_coeff_c,li_coeff_c,gen_coeff_c,dui_coeff_c,qian_coeff_d,kun_coeff_d,zhen_coeff_d,xun_coeff_d,kan_coeff_d,li_coeff_d,gen_coeff_d,dui_coeff_d,difficulty
inner_001,inner_motivation,"面对新的挑战时，你的第一反应是什么？","When facing new challenges, what is your first reaction?","兴奋地接受挑战，追求突破","Excitedly accept the challenge and pursue breakthroughs","仔细评估风险，确保安全","Carefully assess risks to ensure safety","寻找创新的解决方案","Look for innovative solutions","与他人协作共同应对","Collaborate with others to tackle it together",0.9,0.1,0.7,0.3,0.5,0.6,0.2,0.4,0.2,0.9,0.1,0.4,0.3,0.2,0.8,0.5,0.6,0.2,0.9,0.5,0.7,0.8,0.3,0.4,0.3,0.6,0.4,0.8,0.4,0.5,0.4,0.9,0.8
inner_002,inner_motivation,"什么最能激发你的内在动力？","What most motivates you internally?","获得认可和成就感","Gaining recognition and sense of achievement","维护稳定和和谐","Maintaining stability and harmony","探索未知和创新","Exploring the unknown and innovating","帮助他人成长","Helping others grow",0.9,0.2,0.6,0.3,0.4,0.7,0.3,0.5,0.3,0.9,0.2,0.5,0.4,0.3,0.8,0.6,0.5,0.3,0.8,0.4,0.9,0.7,0.4,0.3,0.4,0.7,0.5,0.6,0.6,0.8,0.5,0.9,0.7
inner_003,inner_motivation,"在做重要决定时，你最依赖什么？","When making important decisions, what do you rely on most?","逻辑分析和数据","Logic analysis and data","直觉和感受","Intuition and feelings","过往经验和传统","Past experience and tradition","他人的建议和意见","Others' advice and opinions",0.8,0.3,0.4,0.5,0.9,0.6,0.7,0.2,0.4,0.7,0.6,0.8,0.5,0.9,0.4,0.6,0.3,0.8,0.2,0.6,0.4,0.7,0.9,0.3,0.5,0.9,0.5,0.4,0.7,0.3,0.8,0.5,0.6
inner_004,inner_motivation,"你最害怕失去什么？","What are you most afraid of losing?","个人成就和地位","Personal achievements and status","安全感和稳定性","Security and stability","自由和独立性","Freedom and independence","人际关系和连接","Relationships and connections",0.9,0.2,0.5,0.4,0.6,0.7,0.3,0.4,0.2,0.9,0.3,0.5,0.4,0.3,0.8,0.5,0.7,0.4,0.8,0.3,0.6,0.5,0.4,0.6,0.3,0.6,0.5,0.7,0.4,0.6,0.9,0.7,0.8
inner_005,inner_motivation,"什么样的环境让你感到最舒适？","What kind of environment makes you feel most comfortable?","竞争激烈的挑战环境","Highly competitive challenging environment","和谐稳定的协作环境","Harmonious and stable collaborative environment","自由开放的创新环境","Free and open innovative environment","温暖支持的社交环境","Warm and supportive social environment",0.9,0.2,0.6,0.4,0.5,0.6,0.3,0.4,0.3,0.9,0.3,0.6,0.4,0.4,0.8,0.7,0.6,0.4,0.8,0.5,0.7,0.6,0.5,0.4,0.4,0.7,0.5,0.8,0.5,0.6,0.7,0.9,0.8
outer_001,outer_behavior,"在团队中，你通常扮演什么角色？","What role do you usually play in a team?","主动承担领导责任","Actively take on leadership responsibilities","提供支持和帮助","Provide support and assistance","激发团队活力","Energize the team","深入分析问题","Analyze problems in depth",0.9,0.2,0.6,0.3,0.4,0.7,0.5,0.3,0.3,0.9,0.2,0.6,0.5,0.4,0.7,0.8,0.5,0.3,0.9,0.4,0.3,0.8,0.2,0.6,0.4,0.4,0.5,0.5,0.9,0.5,0.8,0.2,0.7
outer_002,outer_behavior,"面对冲突时，你的典型反应是？","What is your typical reaction when facing conflicts?","直接面对，寻求解决","Face it directly and seek solutions","避免冲突，维护和谐","Avoid conflict and maintain harmony","寻找创新的解决方案","Find innovative solutions","倾听各方，寻求共识","Listen to all parties and seek consensus",0.9,0.2,0.7,0.4,0.6,0.5,0.3,0.4,0.2,0.9,0.3,0.7,0.4,0.3,0.8,0.6,0.6,0.4,0.8,0.6,0.5,0.7,0.4,0.5,0.5,0.8,0.6,0.9,0.4,0.5,0.6,0.8,0.8
outer_003,outer_behavior,"在工作中，你更喜欢如何与他人互动？","How do you prefer to interact with others at work?","指导和引领他人","Guide and lead others","协作和支持他人","Collaborate and support others","启发和激励他人","Inspire and motivate others","深度交流和分享","Deep communication and sharing",0.9,0.3,0.5,0.4,0.6,0.7,0.4,0.3,0.4,0.9,0.3,0.7,0.5,0.4,0.7,0.8,0.6,0.4,0.7,0.5,0.6,0.9,0.3,0.5,0.5,0.7,0.6,0.8,0.4,0.6,0.9,0.6,0.7
outer_004,outer_behavior,"当需要做出群体决策时，你倾向于？","When group decisions need to be made, you tend to?","主导讨论和决策过程","Lead the discussion and decision-making process","确保所有人都被听到","Ensure everyone is heard","提出创新的替代方案","Propose innovative alternatives","深入分析各种选项","Analyze various options in depth",0.9,0.3,0.6,0.4,0.5,0.6,0.4,0.3,0.4,0.9,0.4,0.7,0.5,0.5,0.8,0.7,0.6,0.5,0.8,0.5,0.7,0.6,0.4,0.5,0.5,0.8,0.6,0.9,0.4,0.6,0.8,0.6,0.7
outer_005,outer_behavior,"在压力情况下，你的表现通常是？","How do you usually perform under pressure?","保持冷静，果断行动","Stay calm and act decisively","寻求支持，共同应对","Seek support and cope together","快速适应，灵活应变","Adapt quickly and be flexible","深思熟虑，谨慎行动","Think carefully and act cautiously",0.9,0.3,0.6,0.5,0.7,0.6,0.4,0.4,0.4,0.9,0.4,0.6,0.5,0.5,0.7,0.8,0.6,0.5,0.7,0.6,0.8,0.5,0.6,0.4,0.5,0.7,0.8,0.6,0.4,0.9,0.6,0.7,0.8